category,method,path,controller,action,legacy_file,status,note
1-AUTH,GET,/transactionsPaymet,Auth,transactionsPaymet,backend.js,NOT-NEEDED,Legacy HTML page — erstattet av /api/auth/* + React
1-AUTH,GET,/admin,Auth,login,backend.js,NOT-NEEDED,HTML render (legacy admin UI) — erstattet av React-admin
1-AUTH,POST,/admin,Auth,postLogin,backend.js,EXISTS,/api/auth/login + /api/admin/auth/login
1-AUTH,GET,/forgot-password,Auth,forgotPassword,backend.js,NOT-NEEDED,HTML render (legacy admin UI) — erstattet av React-admin
1-AUTH,POST,/forgot-password,Auth,forgotPasswordSendMail,backend.js,EXISTS,/api/auth/forgot-password
1-AUTH,GET,/reset-password/:token,Auth,resetPassword,backend.js,NOT-NEEDED,HTML render (legacy admin UI) — erstattet av React-admin
1-AUTH,POST,/reset-password/:token,Auth,postResetPassword,backend.js,EXISTS,/api/auth/forgot-password
1-AUTH,GET,/logout,Auth,logout,backend.js,NOT-NEEDED,HTML render (legacy admin UI) — erstattet av React-admin
1-AUTH,GET,/register,Auth,register,backend.js,NOT-NEEDED,HTML render (legacy admin UI) — erstattet av React-admin
1-AUTH,GET,/profile,Auth,profile,backend.js,NOT-NEEDED,HTML render (legacy admin UI) — erstattet av React-admin
1-AUTH,POST,/profile/update,Auth,profileUpdate,backend.js,EXISTS,PUT /api/auth/me
1-AUTH,POST,/profile/changePwd,Auth,changePassword,backend.js,EXISTS,/api/auth/change-password
1-AUTH,POST,/profile/changeAvatar,Auth,changeAvatar,backend.js,NOT-NEEDED,Avatar-upload ikke i scope for pilot
1-AUTH,POST,/profile/changeSmsUsrPwd,Auth,changeSmsUsrPwd,backend.js,NOT-NEEDED,SMS ikke pilot-kritisk (PM 2026-04-18) — ingen SMS-provider
1-AUTH,POST,/profile/updateLanguage,Auth,updateLanguage,backend.js,NOT-NEEDED,Lokalisering ikke i scope for pilot
1-AUTH,GET,/agent/profile,Auth,agentProfile,backend.js,NOT-NEEDED,Legacy HTML page — erstattet av /api/auth/* + React
1-AUTH,POST,/profile/agent/update,Auth,agentProfileUpdate,backend.js,EXISTS,PUT /api/auth/me
1-AUTH,POST,/profile/agent/changePwd,Auth,agentChangePassword,backend.js,EXISTS,/api/auth/change-password
1-AUTH,POST,/profile/agent/changeAvatar,Auth,agentChangeAvatar,backend.js,NOT-NEEDED,Avatar-upload ikke i scope for pilot
1-AUTH,POST,/profile/agent/updateLanguage,Auth,agentUpdateLanguage,backend.js,NOT-NEEDED,Lokalisering ikke i scope for pilot
6-ADMIN-OPS,GET,/dashboard,Dashboard,home,backend.js,NOT-NEEDED,HTML index-side — erstattet av React-admin
6-ADMIN-OPS,GET,/dashboardChart/getMonthlyPlayedGameChart,Dashboard,getMonthlyPlayedGameChart,backend.js,EXISTS,B3-report /api/admin/dashboard/* (PR #190)
6-ADMIN-OPS,GET,/dashboardChart/getGameUsageChart,Dashboard,getGameUsageChart,backend.js,EXISTS,B3-report /api/admin/dashboard/* (PR #190)
6-ADMIN-OPS,GET,/dashboard/gameHistory,Dashboard,gameHistory,backend.js,EXISTS,B3-report /api/admin/dashboard/* (PR #190)
6-ADMIN-OPS,GET,/dashboard/getTopPlayers/:id,Dashboard,getTopPlayers,backend.js,EXISTS,B3-report /api/admin/dashboard/* (PR #190)
6-ADMIN-OPS,GET,/dashboard/ongoingGames/:gameType,Dashboard,ongoingGames,backend.js,EXISTS,B3-report /api/admin/dashboard/* (PR #190)
7-AGENT,GET,/agent,AgentController,agent,backend.js,AGENT-DOMENE,BIN-583 (agent-domene)
7-AGENT,GET,/agent/getAgent,AgentController,getAgent,backend.js,AGENT-DOMENE,BIN-583 (agent-domene)
7-AGENT,GET,/addAgent,AgentController,addAgent,backend.js,AGENT-DOMENE,BIN-583 (agent-domene)
7-AGENT,POST,/addAgent,AgentController,addAgentPostData,backend.js,AGENT-DOMENE,BIN-583 (agent-domene)
7-AGENT,POST,/agent/getAgentDelete,AgentController,getAgentDelete,backend.js,AGENT-DOMENE,BIN-583 (agent-domene)
7-AGENT,GET,/agentEdit/:id/,AgentController,editAgent,backend.js,AGENT-DOMENE,BIN-583 (agent-domene)
7-AGENT,POST,/agentEdit/:id,AgentController,editAgentPostData,backend.js,AGENT-DOMENE,BIN-583 (agent-domene)
1-AUTH,GET,/adminUser,AdminController,admin,backend.js,NOT-NEEDED,HTML render (legacy admin UI) — erstattet av React-admin
1-AUTH,GET,/admin/getAdmin,AdminController,getAdmin,backend.js,NOT-NEEDED,Legacy admin HTML user-side — erstattet av React-admin
1-AUTH,GET,/addAdmin,AdminController,addAdmin,backend.js,NOT-NEEDED,HTML render (legacy admin UI) — erstattet av React-admin
1-AUTH,POST,/addAdmin,AdminController,addAdminPostData,backend.js,EXISTS,B6 /api/admin/users CRUD (PR #203)
1-AUTH,POST,/admin/getAdminDelete,AdminController,getAdminDelete,backend.js,EXISTS,B6 /api/admin/users CRUD (PR #203)
