id,title,type,priority,estimate_days,sprint,assignee_role,status,scope,labels,dependencies,description,acceptance_criteria
BG-001,Require authenticated token for gameplay socket events,Story,P0,2,Sprint 1,BE-1,Todo,P0_now,"compliance,auth,socket",,Enforce auth guard on all gameplay socket events and derive identity only from token,"Anonymous or expired token calls are rejected; gameplay identity comes from token only."
BG-002,Add hall and terminal domain model,Story,P0,3,Sprint 1,BE-2,Todo,P0_now,"compliance,data-model,hall",,Create hall and terminal entities with configuration support for gameplay policy binding,"halls terminals and hall_game_config exist and are used by gameplay context."
BG-003,Add KYC and age verification boundary,Story,P0,3,Sprint 2,BE-1,Todo,P0_now,"compliance,kyc,identity",BG-001,Add provider abstraction for identity and age verification before gameplay access,"Users must be age-verified and 18+ before gameplay is allowed."
BG-004,Bind session to hall context,Story,P0,2,Sprint 1,BE-2,Todo,P0_now,"compliance,session,hall",BG-002,Require hall context for session and gameplay actions with reconnect-safe binding,"Gameplay start and join fail without hall binding and reconnect preserves hall context."
BG-005,Implement loss ledger counters per player and hall,Story,P0,3,Sprint 2,BE-2,Todo,P0_now,"compliance,limits,ledger",BG-002,Track net loss by day and month per player and hall across channels,"Daily and monthly loss counters are correct across boundary conditions."
BG-006,Enforce hard loss limits 900 day and 4400 month,Story,P0,2,Sprint 2,BE-1,Todo,P0_now,"compliance,limits,enforcement",BG-005,Block stakes that exceed remaining allowance and return clear error contracts,"Any over-limit action is rejected with remaining-limit context."
BG-007,Support player personal limits under hard cap,Story,P0,2,Sprint 2,BE-1,Todo,P0_now,"compliance,limits,player-controls",BG-006,Allow stricter per-player limits with policy-compliant effective timing,"Personal limits are enforced and never exceed hard limits."
BG-008,Implement mandatory 5 minute break after 1 hour,Story,P0,3,Sprint 2,BE-1,Todo,P0_now,"compliance,pause,responsible-gambling",BG-006,Track continuous play and enforce cooldown pause with activity summary message,"After one hour gameplay is paused for five minutes and new rounds are blocked."
BG-009,Implement self exclusion and timed pause,Story,P0,3,Sprint 2,BE-2,Todo,P0_now,"compliance,self-exclusion,responsible-gambling",BG-001,Add self exclusion and timed pause enforcement across gameplay paths,"Timed pause cannot be cancelled early and self-exclusion cannot be lifted before one year."
BG-010,Disable autoplay paths in production,Story,P0,2,Sprint 1,BE-1+CL-1,Todo,P0_now,"compliance,autoplay,client,backend",,Disable backend autoscheduler and Unity autospin in production profile,"Production runtime blocks autoplay behavior in backend and client."
BG-011,Enforce minimum 30 seconds per databingo sequence,Story,P0,2,Sprint 1,BE-1,Todo,P0_now,"compliance,databingo,timing",BG-004,Prevent next databingo sequence before 30 seconds have elapsed from sequence start,"Early starts are rejected and logged."
BG-012,Harden ticket cap validation 1 to 5,Story,P0,1,Sprint 1,BE-1,Todo,P0_now,"compliance,databingo,tickets",,Keep server cap and add full coverage and config guard checks,"Requests outside 1 to 5 tickets are rejected and tested."
BG-013,Enforce one active databingo per player,Story,P0,2,Sprint 2,BE-1,Todo,P0_now,"compliance,databingo,concurrency",BG-004,Block second simultaneous databingo participation including reconnect races,"Player can only be active in one databingo session at a time."
BG-014,Block extra draw purchases in databingo,Story,P0,1,Sprint 2,CL-1,Todo,P0_now,"compliance,databingo,client",BG-010,Remove extra draw UI and reject any extra draw attempts server-side,"No extra draw path is available and attempted calls are denied."
BG-015,Implement prize policy engine for caps,Story,P0,3,Sprint 3,BE-2,Todo,P0_now,"compliance,prize,payout-policy",BG-002;BG-011,Add policy engine to enforce prize caps by game type hall and link,"Databingo single prize max 2500 and extra prize max 12000 per day per link are enforced."
BG-016,Implement simultaneous winner payout modes,Story,P1,2,Sprint 4,BE-2,Todo,Deferred_P1,"payout,policy,concurrency",BG-015,Support split and full payout modes for simultaneous winner situations,"Simultaneous claims resolve deterministically with idempotent payouts."
